Id,Code,Name,Definition,Broader
C-1,C.1,Railway system performance,An event falling within the C.1 sub-categories for which detailed information is not (yet) available. This category covers both human and technical variations,C
C-1-1,C.1.1,"To provide power for train (or vehicle) operations in normal operations, or situations where there are disruptions or engineering work",An event falling within the C.1.1 sub-categories for which detailed information is not (yet) available.,C-1
C-1-1-1,C.1.1.1,Variation in function 'Take up power control duties',Any variation leading to the non or partial achievement of the goal of ensuring continuity at handover so that the incoming and outgoing controllers in the control room have a similar understanding of a situation.,C-1-1
C-1-1-2,C.1.1.2,Variation in function 'Monitor power',Any variation leading to the non or partial achievement of the goal of assessing the status of power sources in order to ensure that they are safe and available to provide optimum power to train services.,C-1-1
C-1-1-3,C.1.1.3,Variation in function 'Provision of traction supply',Any variation leading to the non or partial achievement of the goal of maintaining the smooth provision of traction supply.,C-1-1
C-1-1-4,C.1.1.4,Variation in function 'Detect irregularity',Any variation leading to the non or partial achievement of the goal of ensuring that the power supply provision is achieved without any abnormality and ensuring continuity despite irregularities. The controller needs to identify and prioritise irregularity as presented as alarms via control systems.,C-1-1
C-1-1-5,C.1.1.5,Variation in function 'Agreement of isolation',Any variation leading to the non or partial achievement of the goal of ensuring that track isolations are conducted in a safe and timely manner. ,C-1-1
C-1-1-6,C.1.1.6,Variation in function 'Formal agreement for control of the line',Any variation leading to the non or partial achievement of the goal of enabling the power supply to be switched off to safeguard staff or others who may be in the vicinity of electrical power conductors. This also includes to specifically confirm with trackwork when/where they will have formal control of the line; and manage isolation accordingly,C-1-1
C-1-1-7,C.1.1.7,Variation in function 'Apply isolation',Any variation leading to the non or partial achievement of the goal of cutting off the electrical power in a specific location; for an agreed period of time; in circumstances where work or third parties intervention is to be carried out in the vicinity of the electrical power sources and there is a risk of injury to staff,C-1-1
C-1-1-8,C.1.1.8,Variation in function 'Return of power / remove isolation',Any variation leading to the non or partial achievement of the goal of returning power at a specific location at the completion of the work or after an incident.,C-1-1
C-1-1-0,C.1.1.0,Other,Any variation falling within the category ‘to provide power for train (or vehicle) operations in normal operations; or situations where there are disruptions or engineering work’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-1
C-1-2,C.1.2,"To respond to incidents and occurrences, including arrangements for safety and initiation of remedial actions",An event falling within the C.1.2 sub-categories for which detailed information is not (yet) available.,C-1
C-1-2-1,C.1.2.1,Variation in function 'Detect irregularity',Any variation leading to the non or partial achievement of the goal of enabling staff to achieve timely and accurate detection of irregularities or an incident; minimising the response time and harm to passengers or staff.,C-1-2
C-1-2-2,C.1.2.2,"Variation in function 'Conduct immediate mitigation, containment'",Any variation leading to the non or partial achievement of the goal of initiating on-the-ground incident response and containment.,C-1-2
C-1-2-3,C.1.2.3,Variation in function 'Gather and communicate incident information',Any variation leading to the non or partial achievement of the goal of identifying the most relevant and current information and establish a shared understanding of the incident; the location and potential implications of the incident; across all relevant operational staff.,C-1-2
C-1-2-4,C.1.2.4,Variation in function 'Protect incident/event area',Any variation leading to the non or partial achievement of the goal of protecting an area from traffic movement and power; in order to maintain safety during an incident or unexpected event.,C-1-2
C-1-2-5,C.1.2.5,Variation in function 'Verify work arrangements',Any variation leading to the non or partial achievement of the goal of exchanging information; in order to establish a shared understanding between different parties (of location and timing of work and protection; in case of remedial actions) through communication and documentation.,C-1-2
C-1-2-6,C.1.2.6,Variation in function 'Ensure status of infrastructure',Any variation leading to the non or partial achievement of the goal of monitoring the locations of trains and supply of power to specific parts of the network.,C-1-2
C-1-2-7,C.1.2.7,Variation in function 'Formal agreement for control of the line',Any variation leading to the non or partial achievement of the goal of transferring the control of an agreed part of the railway line for movement of traffic or other activities (requiring shared understanding of location and responsibilities). It covers also the return of the line for normal operational use.,C-1-2
C-1-2-8,C.1.2.8,Variation in function 'Coordinating failure and incident response',Any variation leading to the non or partial achievement of the goal of minimising the time delay in response to an incident. ,C-1-2
C-1-2-9,C.1.2.9,Variation in function 'Anticipate delay',Any variation leading to the non or partial achievement of the goal of anticipating delays and being proactive in decision making.,C-1-2
C-1-2-10,C.1.2.10,Variation in function 'Re-planning train service',Any variation leading to the non or partial achievement of the goal of ensuring safety while re-planning traffic flow after an incident or other disruption.,C-1-2
C-1-2-11,C.1.2.11,Variation in function 'Ensure passenger and personnel safety',Any variation leading to the non or partial achievement of the goal of ensuring that passengers are safe in their current location; or that they can be moved safely to another location (e.g. calculate trade-off between remaining in vehicle and evacuation).,C-1-2
C-1-2-12,C.1.2.12,Variation in function 'Rectifying the incident',Any variation leading to the non or partial achievement of the goal of ensuring that an incident cause and any secondary damage is rectified.,C-1-2
C-1-2-13,C.1.2.13,Variation in function 'Protect evidence',Any variation leading to the non or partial achievement of the goal of ensuring that evidence is preserved for future detection; diagnosis and prevention.,C-1-2
C-1-2-0,C.1.2.0,Other,Any variation falling within the category ‘to respond to incidents and occurrences; including arrangements for safety and initiation of remedial actions’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,C-1-2
C-1-3,C.1.3,"To maintain, repair and extend the infrastructure",An event falling within the C.1.3 sub-categories for which detailed information is not (yet) available.,C-1
C-1-3-1,C.1.3.1,Variation in function 'Identify engineering work requirements',Any variation leading to the non or partial achievement of the goal of identifying what engineering works are needed; in order to prioritise and determine the arrangements for carrying them out. ,C-1-3
C-1-3-2,C.1.3.2,Variation in function 'Establish network access',Any variation leading to the non or partial achievement of the goal of establishing a sufficient period of time; potentially free from train movements; to carry out the proposed engineering work.,C-1-3
