Id,Code,Name,Definition,Broader,TopConceptOf
SF-1,SF.1,Leadership,Category with systemic factors that set and maintain the direction in which all the staff are engaged in achieving the organisation’s objectives.,,SystemicFactors
SF-1-1,SF.1.1,Leadership and commitment,Refers to the need for leaders at all levels to establish unity of purpose and create the conditions of people’s engagement; enabling an organisation to align its strategies; policies; processes and resources to achieve its objectives. You can think of leadership as a relationship through which one person influences the behaviour or actions of other people. And the same when taken at the level of an organisation: influencing how it evolves; develops; etc. In order to manage an organisation effectively and efficiently; it is important to respect and involve all people at all levels: it will facilitate the commitment of people in achieving the organisations’ objectives. In the context of a safety management system; leaders shall also demonstrate their own commitment to safety; promoting a positive safety culture; ensuring that the safety risks are under control and the resources needed are made available.,SF-1,
SF-1-2,SF.1.2,Safety Policy,Refers to an official single document describing and communicating the organisation’s safety commitments and principles (ex. legal requirements; continual improvement); together with a series of described practices to actively implement them in the daily operations. This document is established by Top management; appropriate to the organisation's type and extent of railway operations; approved by the organisation's chief executive (or a representative(s) of the Top-management); communicated and made available to all staff. It provides a framework for setting safety objectives and evaluating the organisation's safety performance against these objectives. It has to be maintained in accordance with the business strategy and the evaluation of the safety performance of the organisation.,SF-1,
SF-1-3,SF.1.3,"Organizational roles, responsibilities, accountabilities and authorities",Refers to the safety-related tasks; and decision-making powers that are assigned to different individuals or groups within the organisation. These have to be defined at all levels; documented and communicated. The organisation shall ensure that staff with delegated responsibilities for safety-related tasks have the authority; competence and appropriate resources to perform their activities. It also covers the allocation of roles to business functions outside the organisation; where appropriate.,SF-1,
SF-1-4,SF.1.4,Consultation of staff and other parties,Refers to the organisation’s facilitation of the consultation of staff by providing the methods and means for involving staff; recording staff's opinion and providing feedback. Staff; their representatives and external interested parties; as appropriate and where relevant; shall be consulted in developing; maintaining and improving the safety management system in the relevant parts for which they are responsible; including the safety aspects of operational procedures.,SF-1,
SF-1-0,SF.1.0,Other leadership,Any systemic factor falling within the category ‘Leadership’; but not covered by any of the sub-categories coded above. A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,SF-1,
SF-2,SF.2,Planning,Category with systemic factors that identify risks and opportunities; establish safety objectives and identify processes and measures necessary to deliver results in accordance with the organisation’s safety policy.,,SystemicFactors
SF-2-1,SF.2.1,Actions to address risks,Refers to the steps taken to identify; evaluate; and manage all the operational; organisational and technical risks relevant to the type; extent and area of operations carried out by the organisation. It includes the appropriate risk control measures to eliminate or minimize the risks. It includes the continual monitoring of the risk control measures that have been implemented; and the review of their effectiveness. It includes an effective communication to ensure that all stakeholders are aware of the risks and the measures that have been implemented to manage them. It covers the need to determine; provide and sustain a safe working environment (linked to Directive 89/391/EEC). It also covers the potential safety risks before the implementation of a change; in accordance with the Regulation (EU) 402/2013.,SF-2,
SF-2-2,SF.2.2,Safety objectives and planning,Refers to the need to establish safety objectives for relevant functions at relevant levels to maintain and; where reasonably practicable; to improve its safety performance. The safety objectives shall be consistent with the safety policy; be linked to the priority risks; be measurable; be revised; be communicated; etc. Plans are needed to describe how the organisation will achieve its safety objectives; and to describe how this is to be monitored.,SF-2,
SF-2-0,SF.2.0,Other planning,Any systemic factor falling within the category ‘Planning’; but not covered by any of the sub-categories coded above.  A reporting of information in accordance with section 3.3 of Appendix A - Part C shall apply.,SF-2,
SF-3,SF.3,Support,Category with systemic factors that provide the necessary supports for the establishment; implementation; maintenance and continual improvement of the whole safety management system; incl. the management of the safety-related tasks.,,SystemicFactors
SF-3-1,SF.3.1,Resources,Refers to all the resources; including competent staff and effective and useable equipment; needed for the establishment; implementation; maintenance and continual improvement of the safety management system.  The organisation also ensures that the necessary resources are provided to its staff to carry out their daily activities safely. This also includes staffing; equipment and documentation. It also refers to all the processes the organisation put in place to identify and provide the adequate resources in time in accordance with safety objectives and planning.,SF-3,
